17:30:40 18.09.2020;-6,1875;-6,6875;-5,625;-5,8125;-6,375;-6,5;-5,6875;-5,6875;-6,25;-5,6875;-6,125;-5,3125;-6,375;-6,0625;-6,5;-5,125;-5,875;-5,4375;-5,875;-5,4375;-6,1875;-5,625;-6;-5,125
17:31:20 18.09.2020;-6,0625;-6,5;-5,5;-5,625;-6,25;-6,375;-5,5625;-5,5625;-6;-5,5625;-6;-5,1875;-6,125;-5,875;-6,25;-5;-5,6875;-5,3125;-5,75;-5,25;-6;-5,5;-5,8125;-4,9375
17:32:00 18.09.2020;-5,9375;-6,3125;-5,375;-5,5;-6,125;-6,1875;-5,4375;-5,375;-5,8125;-5,5;-5,875;-5;-5,9375;-5,75;-6,0625;-4,875;-5,5;-5,1875;-5,5625;-5,0625;-5,875;-5,4375;-5,6875;-4,75
17:32:40 18.09.2020;-5,8125;-6,0625;-5,25;-5,3125;-6;-6,0625;-5,3125;-5,25;-5,6875;-5,375;-5,6875;-4,875;-5,6875;-5,625;-5,875;-4,75;-5,3125;-5,0625;-5,5;-4,875;-5,6875;-5,3125;-5,5;-4,5625
17:33:20 18.09.2020;-5,75;-5,875;-5,1875;-5,1875;-5,875;-5,875;-5,1875;-5,125;-5,5;-5,25;-5,5625;-4,75;-5,5;-5,4375;-5,6875;-4,625;-5,1875;-5;-5,3125;-4,75;-5,5625;-5,25;-5,375;-4,4375
17:34:00 18.09.2020;-5,5625;-5,75;-5,0625;-5,0625;-5,75;-5,6875;-5,125;-5;-5,3125;-5,125;-5,4375;-4,6875;-5,375;-5,3125;-5,5;-4,5;-5;-4,875;-5,1875;-4,625;-5,4375;-5,0625;-5,25;-4,25
17:34:40 18.09.2020;-5,4375;-5,5625;-4,9375;-4,9375;-5,625;-5,5625;-5;-4,8125;-5,1875;-5,0625;-5,3125;-4,5625;-5,1875;-5,1875;-5,375;-4,4375;-4,875;-4,75;-5,0625;-4,4375;-5,25;-5;-5,125;-4,125
17:35:20 18.09.2020;-5,375;-5,375;-4,875;-4,8125;-5,5;-5,4375;-4,875;-4,75;-5;-4,9375;-5,1875;-4,5;-5,0625;-5,0625;-5,1875;-4,3125;-4,75;-4,6875;-4,9375;-4,375;-5,125;-4,875;-5;-4,0625
17:36:00 18.09.2020;-5,25;-5,25;-4,75;-4,6875;-5,375;-5,3125;-4,8125;-4,625;-4,875;-4,8125;-5;-4,375;-4,875;-4,9375;-5,0625;-4,25;-4,625;-4,625;-4,8125;-4,25;-5;-4,75;-4,875;-3,9375
17:36:40 18.09.2020;-5,125;-5,125;-4,6875;-4,5625;-5,3125;-5,125;-4,6875;-4,5;-4,75;-4,75;-4,875;-4,25;-4,8125;-4,875;-4,9375;-4,1875;-4,5;-4,5;-4,75;-4,1875;-4,875;-4,6875;-4,75;-3,875
17:37:20 18.09.2020;-5;-5;-4,5625;-4,5;-5,1875;-5,0625;-4,625;-4,375;-4,625;-4,625;-4,75;-4,1875;-4,6875;-4,75;-4,8125;-4,0625;-4,4375;-4,4375;-4,5625;-4,0625;-4,75;-4,5625;-4,6875;-3,8125
17:38:00 18.09.2020;-4,9375;-4,875;-4,5;-4,375;-5,0625;-4,875;-4,5;-4,3125;-4,5;-4,5;-4,625;-4,125;-4,5625;-4,625;-4,6875;-4;-4,3125;-4,3125;-4,5;-4;-4,6875;-4,4375;-4,5625;-3,6875
17:38:40 18.09.2020;-4,8125;-4,75;-4,375;-4,25;-4,9375;-4,8125;-4,4375;-4,1875;-4,4375;-4,375;-4,3125;-3,8125;-3,9375;-4,1875;-4;-2,8125;-3,75;-3,5;-2,4375;-1,4375;-3,125;-3,75;-2,875;-0,8125
17:39:20 18.09.2020;-3,5625;-3,5;-2,25;-1,5625;-3,8125;-3,0625;-2,8125;-1,9375;-1,5625;-1,5;-1,5625;-1,25;-1,75;-1,8125;-1,875;-0,6875;-2,3125;-2,375;-1,8125;-1,25;-2,5;-2,875;-2,3125;-1,4375
17:40:00 18.09.2020;-3,0625;-2,6875;-1,875;-1,5625;-3,375;-2,875;-2,375;-1,75;-2;-1,5625;-1,9375;-1,5625;-2,125;-1,8125;-1,9375;-1,4375;-2,6875;-2,4375;-2,1875;-2,4375;-2,8125;-2,75;-2,5;-2,4375
17:40:40 18.09.2020;-2,6875;-2,5;-1,5;-0,9375;-2,875;-2,375;-2;-1,125;-1,5;-0,9375;-1,25;-1,125;-1,375;-1,3125;-1,25;-0,875;-2,75;-2,3125;-2,3125;-2,5;-2,75;-2,625;-2,5;-2,5625
17:41:20 18.09.2020;-2,375;-2,375;-1,5;-1,8125;-2,8125;-2,375;-1,8125;-1,4375;-1,9375;-1,1875;-1,6875;-1,625;-1,875;-1,4375;-1,6875;-1,375;-3,1875;-2,5625;-2,5625;-3,375;-3,0625;-2,75;-2,6875;-3,375
17:42:00 18.09.2020;-2,0625;-2,0625;-1,1875;-1;-2,25;-2,1875;-1,625;-1,0625;-1,3125;-0,8125;-1,125;-1,4375;-1,3125;-1,0625;-1;-1,0625;-3,375;-2,75;-2,8125;-3,75;-3,25;-2,875;-2,9375;-3,8125
17:42:40 18.09.2020;-1,5625;-1,4375;-0,625;0,3125;-1,75;-1,3125;-1,25;-0,0625;-0,5;0,0625;-0,0625;-0,625;-0,0625;-0,3125;0,125;-0,125;-2,875;-2,25;-2,5;-2,5;-2,75;-2,5625;-2,5;-2,5
17:43:20 18.09.2020;-0,9375;-0,9375;-0,25;0,5625;-1,375;-1,125;-0,9375;0,25;-0,1875;0,4375;0,0625;-0,75;0;0;0,375;-0,5;-3,3125;-2,6875;-2,8125;-3,75;-3,3125;-2,8125;-3,125;-3,8125
17:44:01 18.09.2020;-0,75;-0,6875;-0,375;0,5625;-1,1875;-0,8125;-0,75;0,5;0,0625;0,5;0,4375;-0,5;0,375;0,1875;0,6875;-0,0625;-3,75;-2,6875;-3,0625;-3,3125;-3,375;-2,875;-3,1875;-3,3125
17:44:41 18.09.2020;-0,3125;-0,4375;0,0625;1,0625;-0,8125;-0,3125;-0,5;0,875;0,25;0,9375;0,6875;-0,1875;0,5;0,375;0,8125;0;-3,375;-2,4375;-2,8125;-3;-3,125;-2,6875;-3,125;-3,125
17:45:21 18.09.2020;-0,1875;-0,625;-0,0625;0,5;-0,6875;-0,4375;-0,4375;0,625;-0,625;0,5;-0,1875;-0,9375;-0,375;0,125;0;-1,1875;-4,125;-2,75;-3,625;-4,625;-3,9375;-2,9375;-4;-4,625
17:46:01 18.09.2020;-0,25;-1,25;-0,5;-0,125;-0,75;-0,75;-0,625;0,1875;-1,5625;-0,125;-1;-1,8125;-1,3125;-0,3125;-0,875;-2,375;-4,9375;-3,3125;-4,5625;-5,5;-4,625;-3,375;-4,75;-5,4375
